	Analysis_Type	Date	ID	Rep	Sample_Type	Sensor	Site	Temp
127	a	071918	AC9_071918_cbr_raw_a_2_T16_1	2	raw	AC9	cbr	16.1
128	a	071918	AC9_071918_cbr_raw_a_3_T16_1	3	raw	AC9	cbr	16.1
129	a	071918	AC9_071918_cbr_raw_a_4_T16_1	4	raw	AC9	cbr	16.1
130	c	071918	AC9_071918_cbr_raw_c_2_T16_1	2	raw	AC9	cbr	16.1
131	c	071918	AC9_071918_cbr_raw_c_3_T16_1	3	raw	AC9	cbr	16.1
132	c	071918	AC9_071918_cbr_raw_c_4_T16_1	4	raw	AC9	cbr	16.1
133	a	070718	AC9_070718_sea_cal_a_1_T20_6	1	cal	AC9	sea	20.6
134	a	070718	AC9_070718_sea_cal_a_2_T20_9	2	cal	AC9	sea	20.9
135	a	070718	AC9_070718_sea_cal_a_3_T20_9	3	cal	AC9	sea	20.9
136	c	070718	AC9_070718_sea_cal_c_1_T20_6	1	cal	AC9	sea	20.6
137	c	070718	AC9_070718_sea_cal_c_2_T20_6	2	cal	AC9	sea	20.6
138	c	070718	AC9_070718_sea_cal_c_3_T20_6	3	cal	AC9	sea	20.6
139	a	071318	AC9_071318_fai_cal_a_1_T23_8	1	cal	AC9	fai	23.8
140	a	071318	AC9_071318_fai_cal_a_2_T24_1	2	cal	AC9	fai	24.1
141	a	071318	AC9_071318_fai_cal_a_3_T24_0	3	cal	AC9	fai	24.0
142	c	071318	AC9_071318_fai_cal_c_1_T23_7	1	cal	AC9	fai	23.7
143	c	071318	AC9_071318_fai_cal_c_2_T23_8	2	cal	AC9	fai	23.8
144	c	071318	AC9_071318_fai_cal_c_3_T23_9	3	cal	AC9	fai	23.9
145	a	071618	AC9_071618_can_cal_a_1_T19_3	1	cal	AC9	can	19.3
146	a	071618	AC9_071618_can_cal_a_2_T19_9	2	cal	AC9	can	19.9
147	a	071618	AC9_071618_can_cal_a_3_T19_0	3	cal	AC9	can	19.0
148	c	071618	AC9_071618_can_cal_c_1_T19_3	1	cal	AC9	can	19.3
149	c	071618	AC9_071618_can_cal_c_2_T19_9	2	cal	AC9	can	19.9
150	c	071618	AC9_071618_can_cal_c_3_T19_0	3	cal	AC9	can	19.0
151	a	071718	AC9_071718_can_cal_a_1_T19_0	1	cal	AC9	can	19.0
152	a	071718	AC9_071718_can_cal_a_2_T19_0	2	cal	AC9	can	19.0
153	a	071718	AC9_071718_can_cal_a_3_T19_0	3	cal	AC9	can	19.0
154	c	071718	AC9_071718_can_cal_c_1_T19_0	1	cal	AC9	can	19.0
155	c	071718	AC9_071718_can_cal_c_2_T19_0	2	cal	AC9	can	19.0
156	c	071718	AC9_071718_can_cal_c_3_T19_0	3	cal	AC9	can	19.0
157	a	071818	AC9_071818_can_cal_a_1_T21_2	1	cal	AC9	can	21.2
158	a	071818	AC9_071818_can_cal_a_2_T21_2	2	cal	AC9	can	21.2
159	a	071818	AC9_071818_can_cal_a_3_T21_2	3	cal	AC9	can	21.2
160	c	071818	AC9_071818_can_cal_c_1_T21_2	1	cal	AC9	can	21.2
161	c	071818	AC9_071818_can_cal_c_2_T21_2	2	cal	AC9	can	21.2
162	c	071818	AC9_071818_can_cal_c_3_T21_2	3	cal	AC9	can	21.2
163	a	071918	AC9_071918_can_cal_a_1_T21_6	1	cal	AC9	can	21.6
164	a	071918	AC9_071918_can_cal_a_2_T20_4	2	cal	AC9	can	20.4
165	a	071918	AC9_071918_can_cal_a_3_T20_1	3	cal	AC9	can	20.1
166	c	071918	AC9_071918_can_cal_c_1_T21_6	1	cal	AC9	can	21.6
167	c	071918	AC9_071918_can_cal_c_2_T20_4	2	cal	AC9	can	20.4
168	c	071918	AC9_071918_can_cal_c_3_T20_1	3	cal	AC9	can	20.1
169	a	072118	AC9_072118_fai_cal_a_1_T26_7	1	cal	AC9	fai	26.7
170	a	072118	AC9_072118_fai_cal_a_2_T25_7	2	cal	AC9	fai	25.7
171	a	072118	AC9_072118_fai_cal_a_3_T25_4	3	cal	AC9	fai	25.4
172	c	072118	AC9_072118_fai_cal_c_1_T26_7	1	cal	AC9	fai	26.7
173	c	072118	AC9_072118_fai_cal_c_2_T25_7	2	cal	AC9	fai	25.7
174	c	072118	AC9_072118_fai_cal_c_3_T25_4	3	cal	AC9	fai	25.4
175	a	072118	AC9_072118_fav_cal_a_1_T26_3	1	cal	AC9	fav	26.3
176	c	072118	AC9_072118_fav_cal_c_1_T26_3	1	cal	AC9	fav	26.3
177	a	081618	AC9_081618_sea_cal_a_1_T18_5	1	cal	AC9	sea	18.5
178	a	081618	AC9_081618_sea_cal_a_2_T18_5	2	cal	AC9	sea	18.5
179	a	081618	AC9_081618_sea_cal_a_3_T18_5	3	cal	AC9	sea	18.5
180	a	081618	AC9_081618_sea_cal_a_4_T18_5	4	cal	AC9	sea	18.5
181	c	081618	AC9_081618_sea_cal_c_1_T18_5	1	cal	AC9	sea	18.5
182	c	081618	AC9_081618_sea_cal_c_2_T18_5	2	cal	AC9	sea	18.5
183	c	081618	AC9_081618_sea_cal_c_3_T18_5	3	cal	AC9	sea	18.5
184	c	081618	AC9_081618_sea_cal_c_4_T18_5	4	cal	AC9	sea	18.5
