wl,mean,Temp,ID,Site,Sample_Type,Analysis_Type,Date,Rep
715.0,3.3698100621118017,21.5,AC9_071119_ch6_raw_c_1_T21_5,ch6,raw,c,071119,1
412.0,9.2302977159309,21.9,AC9_071119_ch6_raw_c_2_T21_9,ch6,raw,c,071119,2
440.0,7.384044721689063,21.9,AC9_071119_ch6_raw_c_2_T21_9,ch6,raw,c,071119,2
488.0,5.8321096353167015,21.9,AC9_071119_ch6_raw_c_2_T21_9,ch6,raw,c,071119,2
510.0,5.4087433973128585,21.9,AC9_071119_ch6_raw_c_2_T21_9,ch6,raw,c,071119,2
532.0,5.30001777351248,21.9,AC9_071119_ch6_raw_c_2_T21_9,ch6,raw,c,071119,2
555.0,4.867271996161229,21.9,AC9_071119_ch6_raw_c_2_T21_9,ch6,raw,c,071119,2
650.0,4.44296199616123,21.9,AC9_071119_ch6_raw_c_2_T21_9,ch6,raw,c,071119,2
676.0,3.872383186180423,21.9,AC9_071119_ch6_raw_c_2_T21_9,ch6,raw,c,071119,2
715.0,3.828839193857962,21.9,AC9_071119_ch6_raw_c_2_T21_9,ch6,raw,c,071119,2
412.0,8.705468971428571,21.1,AC9_071119_ch6_raw_c_3_T21_1,ch6,raw,c,071119,3
440.0,6.939894085714287,21.1,AC9_071119_ch6_raw_c_3_T21_1,ch6,raw,c,071119,3
488.0,5.4517978000000005,21.1,AC9_071119_ch6_raw_c_3_T21_1,ch6,raw,c,071119,3
510.0,5.106634457142856,21.1,AC9_071119_ch6_raw_c_3_T21_1,ch6,raw,c,071119,3
532.0,4.904223485714284,21.1,AC9_071119_ch6_raw_c_3_T21_1,ch6,raw,c,071119,3
555.0,4.436964085714282,21.1,AC9_071119_ch6_raw_c_3_T21_1,ch6,raw,c,071119,3
650.0,3.7599393999999986,21.1,AC9_071119_ch6_raw_c_3_T21_1,ch6,raw,c,071119,3
676.0,3.4971523999999987,21.1,AC9_071119_ch6_raw_c_3_T21_1,ch6,raw,c,071119,3
715.0,3.333013085714286,21.1,AC9_071119_ch6_raw_c_3_T21_1,ch6,raw,c,071119,3
412.0,0.26213371104815875,26.2,AC9_071119_sea_cal_a_1_T26_2,sea,cal,a,071119,1
440.0,0.20879004249291766,26.2,AC9_071119_sea_cal_a_1_T26_2,sea,cal,a,071119,1
488.0,0.18829386685552413,26.2,AC9_071119_sea_cal_a_1_T26_2,sea,cal,a,071119,1
510.0,0.18195337110481571,26.2,AC9_071119_sea_cal_a_1_T26_2,sea,cal,a,071119,1
532.0,0.18186031161473068,26.2,AC9_071119_sea_cal_a_1_T26_2,sea,cal,a,071119,1
555.0,0.18420114730878204,26.2,AC9_071119_sea_cal_a_1_T26_2,sea,cal,a,071119,1
650.0,0.2020005524079319,26.2,AC9_071119_sea_cal_a_1_T26_2,sea,cal,a,071119,1
676.0,0.1989212039660056,26.2,AC9_071119_sea_cal_a_1_T26_2,sea,cal,a,071119,1
715.0,0.22075692634560906,26.2,AC9_071119_sea_cal_a_1_T26_2,sea,cal,a,071119,1
412.0,0.30625323113207537,24.7,AC9_071119_sea_cal_a_2_T24_7,sea,cal,a,071119,2
440.0,0.2539336320754719,24.7,AC9_071119_sea_cal_a_2_T24_7,sea,cal,a,071119,2
488.0,0.21747641509433965,24.7,AC9_071119_sea_cal_a_2_T24_7,sea,cal,a,071119,2
510.0,0.2034365566037737,24.7,AC9_071119_sea_cal_a_2_T24_7,sea,cal,a,071119,2
532.0,0.20523301886792447,24.7,AC9_071119_sea_cal_a_2_T24_7,sea,cal,a,071119,2
555.0,0.2133657547169812,24.7,AC9_071119_sea_cal_a_2_T24_7,sea,cal,a,071119,2
650.0,0.23797985849056616,24.7,AC9_071119_sea_cal_a_2_T24_7,sea,cal,a,071119,2
676.0,0.22418995283018864,24.7,AC9_071119_sea_cal_a_2_T24_7,sea,cal,a,071119,2
715.0,0.251704316037736,24.7,AC9_071119_sea_cal_a_2_T24_7,sea,cal,a,071119,2
412.0,0.3773704334677418,24.7,AC9_071119_sea_cal_a_3_T24_7,sea,cal,a,071119,3
440.0,0.3356396270161289,24.7,AC9_071119_sea_cal_a_3_T24_7,sea,cal,a,071119,3
488.0,0.3089241129032255,24.7,AC9_071119_sea_cal_a_3_T24_7,sea,cal,a,071119,3
510.0,0.27722066532258083,24.7,AC9_071119_sea_cal_a_3_T24_7,sea,cal,a,071119,3
532.0,0.2792262197580647,24.7,AC9_071119_sea_cal_a_3_T24_7,sea,cal,a,071119,3
555.0,0.31807758064516145,24.7,AC9_071119_sea_cal_a_3_T24_7,sea,cal,a,071119,3
650.0,0.3396905846774197,24.7,AC9_071119_sea_cal_a_3_T24_7,sea,cal,a,071119,3
676.0,0.3248158971774195,24.7,AC9_071119_sea_cal_a_3_T24_7,sea,cal,a,071119,3
715.0,0.3612184576612905,24.7,AC9_071119_sea_cal_a_3_T24_7,sea,cal,a,071119,3
412.0,-0.5824325495750708,26.2,AC9_071119_sea_cal_c_1_T26_2,sea,cal,c,071119,1
440.0,-0.3630859490084983,26.2,AC9_071119_sea_cal_c_1_T26_2,sea,cal,c,071119,1
488.0,-0.21150552407932005,26.2,AC9_071119_sea_cal_c_1_T26_2,sea,cal,c,071119,1
510.0,-0.17449167138810193,26.2,AC9_071119_sea_cal_c_1_T26_2,sea,cal,c,071119,1
532.0,-0.15240562322946175,26.2,AC9_071119_sea_cal_c_1_T26_2,sea,cal,c,071119,1
