wl,mean,Temp,ID,Site,Sample_Type,Analysis_Type,Date,Rep
510.0,68.89408544087989,15.4,AC9_071718_9mi_fil_a_1_T15_4,9mi,fil,a,071718,1
532.0,67.21605471355315,15.4,AC9_071718_9mi_fil_a_1_T15_4,9mi,fil,a,071718,1
555.0,67.8785717305916,15.4,AC9_071718_9mi_fil_a_1_T15_4,9mi,fil,a,071718,1
650.0,65.60226909689814,15.4,AC9_071718_9mi_fil_a_1_T15_4,9mi,fil,a,071718,1
676.0,65.80256415583288,15.4,AC9_071718_9mi_fil_a_1_T15_4,9mi,fil,a,071718,1
715.0,67.21596896057153,15.4,AC9_071718_9mi_fil_a_1_T15_4,9mi,fil,a,071718,1
412.0,7.4746908870462025,15.4,AC9_071718_9mi_fil_a_2_T15_4,9mi,fil,a,071718,2
440.0,4.5513945858910905,15.4,AC9_071718_9mi_fil_a_2_T15_4,9mi,fil,a,071718,2
488.0,2.6656875328382847,15.4,AC9_071718_9mi_fil_a_2_T15_4,9mi,fil,a,071718,2
510.0,2.487444407673268,15.4,AC9_071718_9mi_fil_a_2_T15_4,9mi,fil,a,071718,2
532.0,2.7831177676567656,15.4,AC9_071718_9mi_fil_a_2_T15_4,9mi,fil,a,071718,2
555.0,2.4204057390264033,15.4,AC9_071718_9mi_fil_a_2_T15_4,9mi,fil,a,071718,2
650.0,1.9142987838283831,15.4,AC9_071718_9mi_fil_a_2_T15_4,9mi,fil,a,071718,2
676.0,1.8946955891914192,15.4,AC9_071718_9mi_fil_a_2_T15_4,9mi,fil,a,071718,2
715.0,1.6296480818481849,15.4,AC9_071718_9mi_fil_a_2_T15_4,9mi,fil,a,071718,2
412.0,3.6177844620462034,15.1,AC9_071718_9mi_fil_a_3_T15_1,9mi,fil,a,071718,3
440.0,2.0768468712871266,15.1,AC9_071718_9mi_fil_a_3_T15_1,9mi,fil,a,071718,3
488.0,0.9023332145214508,15.1,AC9_071718_9mi_fil_a_3_T15_1,9mi,fil,a,071718,3
510.0,0.6663779405940596,15.1,AC9_071718_9mi_fil_a_3_T15_1,9mi,fil,a,071718,3
532.0,0.4805357557755768,15.1,AC9_071718_9mi_fil_a_3_T15_1,9mi,fil,a,071718,3
