lake,wl,Statistic,Value,Side,Variable
dor,412.0,std,0.19504461987798272,b,b_412_std
dor,440.0,std,0.19386205059196202,b,b_440_std
dor,488.0,std,0.19323805329958169,b,b_488_std
dor,510.0,std,0.19617015766870333,b,b_510_std
dor,532.0,std,0.1976152470574568,b,b_532_std
dor,555.0,std,0.1945982186323773,b,b_555_std
dor,650.0,std,0.19972424218118404,b,b_650_std
dor,676.0,std,0.19693323636302185,b,b_676_std
dor,715.0,std,0.2028136722473489,b,b_715_std
egg,412.0,std,0.10276416938801544,b,b_412_std
egg,440.0,std,0.0985088526292185,b,b_440_std
egg,488.0,std,0.09661625992278718,b,b_488_std
egg,510.0,std,0.09656905362892212,b,b_510_std
egg,532.0,std,0.09645240102459318,b,b_532_std
egg,555.0,std,0.0954166550599668,b,b_555_std
egg,650.0,std,0.09805750901771147,b,b_650_std
egg,676.0,std,0.09740191943396674,b,b_676_std
egg,715.0,std,0.09790591348806824,b,b_715_std
flt,412.0,std,0.29279099271977976,b,b_412_std
flt,440.0,std,0.28906028251964583,b,b_440_std
flt,488.0,std,0.2892745137201789,b,b_488_std
flt,510.0,std,0.29425078596142223,b,b_510_std
flt,532.0,std,0.3056280979103546,b,b_532_std
flt,555.0,std,0.3009132635648454,b,b_555_std
flt,650.0,std,0.3274140461551284,b,b_650_std
flt,676.0,std,0.30669644862291706,b,b_676_std
flt,715.0,std,0.3181255633579301,b,b_715_std
gst,412.0,std,0.3459401162468964,b,b_412_std
gst,440.0,std,0.3461283622156766,b,b_440_std
gst,488.0,std,0.3474174621454026,b,b_488_std
gst,510.0,std,0.3505521015306323,b,b_510_std
gst,532.0,std,0.3495913770967824,b,b_532_std
gst,555.0,std,0.3481403316383141,b,b_555_std
gst,650.0,std,0.35187239153205496,b,b_650_std
gst,676.0,std,0.3589178479650549,b,b_676_std
gst,715.0,std,0.3606637315001273,b,b_715_std
lim,412.0,std,0.08451262300516361,b,b_412_std
lim,440.0,std,0.08337901425736048,b,b_440_std
lim,488.0,std,0.08437960301343657,b,b_488_std
lim,510.0,std,0.08271998411573013,b,b_510_std
lim,532.0,std,0.08337045994077354,b,b_532_std
lim,555.0,std,0.08475694662473263,b,b_555_std
lim,650.0,std,0.08806441575349007,b,b_650_std
lim,676.0,std,0.08853237427535066,b,b_676_std
lim,715.0,std,0.0926134073420532,b,b_715_std
lit,412.0,std,0.21788971067840407,b,b_412_std
lit,440.0,std,0.2184158530610914,b,b_440_std
lit,488.0,std,0.21645997601181696,b,b_488_std
lit,510.0,std,0.21610506919753386,b,b_510_std
lit,532.0,std,0.213337884016922,b,b_532_std
lit,555.0,std,0.21338553787942133,b,b_555_std
lit,650.0,std,0.21158126536797006,b,b_650_std
lit,676.0,std,0.21703930601441224,b,b_676_std
lit,715.0,std,0.22011561857612874,b,b_715_std
rat,412.0,std,0.1567074310748506,b,b_412_std
rat,440.0,std,0.15693467422855611,b,b_440_std
rat,488.0,std,0.15459832019408296,b,b_488_std
rat,510.0,std,0.1551104411647184,b,b_510_std
rat,532.0,std,0.15519737690186064,b,b_532_std
rat,555.0,std,0.15519239694094625,b,b_555_std
rat,650.0,std,0.15559231371535254,b,b_650_std
rat,676.0,std,0.15586417158315652,b,b_676_std
rat,715.0,std,0.16089546094235055,b,b_715_std
rob,412.0,std,0.2765870509580876,b,b_412_std
rob,440.0,std,0.279540408748152,b,b_440_std
rob,488.0,std,0.2782144316262756,b,b_488_std
rob,510.0,std,0.2773731485914256,b,b_510_std
rob,532.0,std,0.2832836565840213,b,b_532_std
rob,555.0,std,0.2814879421304363,b,b_555_std
rob,650.0,std,0.2937347798997005,b,b_650_std
rob,676.0,std,0.2871093689431293,b,b_676_std
rob,715.0,std,0.2965151099983518,b,b_715_std
roc,412.0,std,0.02962013057248406,b,b_412_std
roc,440.0,std,0.027903939481500484,b,b_440_std
roc,488.0,std,0.0260377292834482,b,b_488_std
roc,510.0,std,0.024954625420885668,b,b_510_std
roc,532.0,std,0.025557795975200002,b,b_532_std
roc,555.0,std,0.024894210845399008,b,b_555_std
roc,650.0,std,0.02837989088001248,b,b_650_std
roc,676.0,std,0.02412606698101755,b,b_676_std
roc,715.0,std,0.025955226151899647,b,b_715_std
